name,ra,dec,sample,type,cvrhs,t,incl_deg,dist_mpc,distmod,mabs1_3p6,logmstar,btot_app,b_abs,m_i,mi_source,mabs3_real,p4_url
NGC5493,212.87241,-5.043581,ETG,S0,S0^- sp / E(d)1,-3.0,31.9,19.85,31.488802555495667,-20.477,10.377,12.281,-19.207802555495668,-20.84873860054148,predicted_B,nan,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/NGC5493/P4/
ESO462-028,307.739498,-28.925952,DG,Scd,SA\underline{B}(s)m,9.0,48.5,39.8,32.99941536036844,-17.751,9.287,15.12,-17.87941536036844,-18.289,real,-18.289,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/ESO462-028/P4/
ESO466-025,329.601814,-32.236364,DG,Sc,S0$^-$ sp / E(d)5,-3.0,61.7,33.35,32.615479191262835,-18.565,9.613,14.88,-17.735479191262833,-19.002,real,-19.002,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/ESO466-025/P4/
ESO466-043,330.562275,-31.22023,DG,Sbc,Sb sp / E7,3.0,67.7,36.83,32.831008594274564,-18.609,9.63,15.2,-17.631008594274565,-19.039,real,-19.039,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/ESO466-043/P4/
ESO468-006,337.82539,-28.400438,DG,Scd,SA(s)m,9.0,39.5,37.45,32.86725911017743,-17.181,9.059,15.18,-17.68725911017743,-17.784,real,-17.784,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/ESO468-006/P4/
ESO468-008,338.005714,-28.024192,DG,Sm,IB(s)m,10.0,57.1,36.63,32.819184593322724,-16.608,8.829,16.08,-16.739184593322726,-17.269,real,-17.269,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/ESO468-008/P4/
ESO477-005,27.206763,-27.141226,DG,Sc,SAB(s)cd,6.0,64.7,18.09,31.28719283429907,-15.838,8.522,15.24,-16.047192834299068,-16.572,real,-16.572,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/ESO477-005/P4/
ESO480-017,44.811035,-23.660685,DG,Sbc,(R$^{\prime}$)SB(s)cd,6.0,64.9,36.48,32.81027414828189,-17.271,9.094,15.58,-17.230274148281893,-17.863,real,-17.863,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/ESO480-017/P4/
ESO482-017,54.430085,-22.909782,DG,Sb,SA(s)cd,6.0,63.7,18.01,31.27756856409767,-16.943,8.963,15.34,-15.93756856409767,-17.57,real,-17.57,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/ESO482-017/P4/
ESO482-036,55.580852,-22.755392,DG,SABm,(R$^{\prime}$)S\underline{A}B(s)cd,6.0,33.5,21.01,31.612130262029766,-17.019,8.994,15.01,-16.602130262029767,-17.639,real,-17.639,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/ESO482-036/P4/
ESO482-049,58.11075,-23.042931,DG,Sc,Im sp / E5,10.0,63.7,19.83,31.48661357102651,-15.994,8.584,15.54,-15.94661357102651,-16.714,real,-16.714,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/ESO482-049/P4/
ESO504-030,179.312343,-27.70004,DG,SBd,(R$^{\prime}$)SB(r\underline{s})cd,6.0,45.0,23.91,31.89289788057887,-17.442,9.163,14.79,-17.102897880578873,-18.015,real,-18.015,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/ESO504-030/P4/
ESO505-005,180.46064,-24.123746,DG,S?,(L)SB(s)m,9.0,37.1,22.03,31.715072485753836,-16.537,8.801,15.18,-16.535072485753837,-17.206,real,-17.206,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/ESO505-005/P4/
PGC282435,46.355889,-68.939692,DG,Sm,SA(s)cd,6.0,53.3,18.26,31.3075038659914,-16.404,8.748,15.0,-16.3075038659914,-17.085,real,-17.085,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/PGC282435/P4/
PGC3097691,6.544448,-11.043567,DG,I,dSph,11.0,45.6,0.79,24.48813545645221,-10.45,6.366,14.4,-10.088135456452209,-11.408,real,-11.408,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/PGC3097691/P4/
PGC3097702,166.548522,-14.406327,DG,I,SAB(s)dm,8.0,66.4,13.92,30.718196176372714,-14.139,7.842,15.8,-14.918196176372714,-14.995,real,-14.995,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/PGC3097702/P4/
PGC891484,172.776397,-16.926967,DG,S?,(R$^{\prime}$)SA(s)d,7.0,33.0,17.99,31.275155816727754,-15.92,8.554,15.17,-16.105155816727752,-16.647,real,-16.647,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/PGC891484/P4/
