name,p4_url,http_status,n_outgal,complexity_rank,best_outgal,all_outgals,error
ESO012-010,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/ESO012-010/P4/,200,3,3,ESO012-010_dbar.outgal,"[""ESO012-010_dbar.outgal"", ""ESO012-010_onecomp.outgal"", ""ESO012-010_twocomp.outgal""]",
ESO013-009,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/ESO013-009/P4/,404,0,0,,[],
ESO013-016,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/ESO013-016/P4/,200,3,3,ESO013-016_dbarf.outgal,"[""ESO013-016_dbarf.outgal"", ""ESO013-016_onecomp.outgal"", ""ESO013-016_twocomp.outgal""]",
ESO013-021,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/ESO013-021/P4/,404,0,0,,[],
ESO026-001,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/ESO026-001/P4/,200,3,3,ESO026-001_ndbar.outgal,"[""ESO026-001_ndbar.outgal"", ""ESO026-001_onecomp.outgal"", ""ESO026-001_twocomp.outgal""]",
ESO027-001,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/ESO027-001/P4/,200,3,3,ESO027-001_bdbar.outgal,"[""ESO027-001_bdbar.outgal"", ""ESO027-001_onecomp.outgal"", ""ESO027-001_twocomp.outgal""]",
ESO027-021,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/ESO027-021/P4/,404,0,0,,[],
ESO028-007,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/ESO028-007/P4/,404,0,0,,[],
ESO048-017,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/ESO048-017/P4/,200,3,3,ESO048-017_ndbar.outgal,"[""ESO048-017_ndbar.outgal"", ""ESO048-017_onecomp.outgal"", ""ESO048-017_twocomp.outgal""]",
ESO054-021,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/ESO054-021/P4/,200,3,3,ESO054-021_dbar.outgal,"[""ESO054-021_dbar.outgal"", ""ESO054-021_onecomp.outgal"", ""ESO054-021_twocomp.outgal""]",
ESO079-005,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/ESO079-005/P4/,200,3,3,ESO079-005_dbar.outgal,"[""ESO079-005_dbar.outgal"", ""ESO079-005_onecomp.outgal"", ""ESO079-005_twocomp.outgal""]",
ESO079-007,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/ESO079-007/P4/,200,3,3,ESO079-007_dbar.outgal,"[""ESO079-007_dbar.outgal"", ""ESO079-007_onecomp.outgal"", ""ESO079-007_twocomp.outgal""]",
ESO080-006,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/ESO080-006/P4/,404,0,0,,[],
ESO084-015,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/ESO084-015/P4/,404,0,0,,[],
ESO108-023,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/ESO108-023/P4/,404,0,0,,[],
ESO114-007,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/ESO114-007/P4/,200,3,3,ESO114-007_d.outgal,"[""ESO114-007_d.outgal"", ""ESO114-007_onecomp.outgal"", ""ESO114-007_twocomp.outgal""]",
ESO118-034,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/ESO118-034/P4/,404,0,0,,[],
