name,complexity_rank,n_components,logmstar,m_i,dist_mpc,t,incl_deg,type,sample,mi_source,max_component_extent_kpc,size_pixels_cut
ESO012-010,3,2,9.791,-19.544108904162112,38.08,7.0,26.8,SBd,S4G,predicted_B,10.520193104747584,271
ESO027-001,3,3,9.921,-19.814507913069473,15.1,3.5,36.3,SBc,S4G,predicted_B,3.0314807066767955,79
ESO048-017,3,3,9.145,-18.08508306182549,26.46,9.0,62.5,SBcd,S4G,predicted_B,4.447051061061526,115
ESO234-043,3,3,9.086,-17.92538683970427,22.42,7.5,44.0,SBm,S4G,predicted_B,5.259342946024129,135
ESO237-052,3,3,9.503,-18.928773741546944,34.54,7.5,67.3,SBd,S4G,predicted_B,4.039459748322087,105
ESO340-042,3,3,9.213,-18.24318320901114,24.0,7.5,68.3,SBd,S4G,predicted_B,5.551744968010606,143
ESO357-012,3,3,9.25,-18.328916034040518,21.3,7.5,41.9,Scd,S4G,predicted_B,6.300986098113361,163
ESO404-012,3,3,10.495,-21.239775015095912,36.77,3.0,38.9,Sc,S4G,predicted_B,4.810895483358637,125
ESO408-012,3,3,9.67,-19.335664306646215,56.6,8.5,60.7,SABc,S4G,predicted_B,6.573062937243496,169
ESO440-049,3,3,9.446,-18.89405008211503,30.33,5.0,41.6,SABc,S4G,predicted_B,4.579297881135243,119
ESO445-089,3,3,10.162,-20.55960028441743,36.3,7.0,34.6,SBcd,S4G,predicted_B,6.537777290408374,169
ESO485-021,3,3,9.16,-18.073180979620712,16.0,5.5,53.4,Sd,S4G,predicted_B,4.378986735710833,113
ESO505-013,3,3,9.365,-18.512794868122462,17.72,7.0,36.2,Sd,S4G,predicted_B,5.993750360470927,155
ESO506-029,3,2,9.562,-19.115220277993966,39.98,8.0,51.8,Sc,S4G,predicted_B,8.94901989418219,231
ESO576-001,3,3,10.685,-21.580331673495657,85.6,1.0,68.2,Sb,S4G,predicted_B,6.1176495616336535,157
ESO576-017,3,3,9.653,-19.21865418863185,38.4,5.0,27.7,SABc,S4G,predicted_B,4.835031717069954,125
ESO576-032,3,3,9.972,-19.914464959206576,21.74,5.0,46.6,Sc,S4G,predicted_B,3.9614315768189967,103
IC0051,3,3,9.843,-19.55731037710797,23.03,3.0,59.2,S0,S4G,predicted_B,4.216197219113536,109
IC0167,3,3,9.461,-18.83912336991927,22.24,6.0,56.0,Sc,S4G,predicted_B,7.935405879628297,205
IC0529,3,3,10.239,-20.68262962264583,27.82,5.5,63.8,Sc,S4G,predicted_B,6.261043155249756,161
IC0600,3,3,9.396,-18.672744220800784,21.67,9.0,68.4,SBd,S4G,predicted_B,5.135376495630898,133
IC0749,3,3,10.186,-20.512120037081413,27.27,6.0,37.7,Sc,S4G,predicted_B,4.739481667022203,123
IC0750,3,3,10.745,-21.523307994413575,24.04,1.0,65.8,Sab,S4G,predicted_B,3.011331444763829,77
IC0769,3,3,10.162,-20.526285051345884,38.99,3.5,48.3,Sbc,S4G,predicted_B,5.857206790560799,151
IC1014,3,3,9.731,-19.35199526161157,24.23,8.5,66.0,SABd,S4G,predicted_B,4.107793247566452,107
IC1438,3,3,10.514,-21.27968617659842,34.25,0.0,23.8,Sa,S4G,predicted_B,7.292116150179636,189
IC1914,3,3,9.51,-18.918034392923538,20.05,5.5,42.9,SABc,S4G,predicted_B,5.643248500045611,145
IC1953,3,3,10.225,-20.637190073693787,24.43,5.0,59.8,Sc,S4G,predicted_B,6.4124930358109475,165
IC2051,3,3,10.672,-21.53797858778334,25.01,3.0,55.2,SBbc,S4G,predicted_B,5.132231629914457,133
IC3021,3,3,9.228,-18.328639125787642,36.4,11.0,58.9,Sm,S4G,predicted_B,3.539507390424136,91
IC4214,3,3,10.842,-21.9543501016415,30.18,0.0,55.6,SBa,S4G,predicted_B,7.294578430104001,189
IC4237,3,3,10.596,-21.41654772735842,40.07,3.0,51.7,SBb,S4G,predicted_B,5.719512355643354,147
IC4536,3,3,9.89,-19.706861784377843,27.65,7.0,54.2,SBcd,S4G,predicted_B,4.573972309609197,119
IC4901,3,4,10.293,-20.822639364076903,22.36,4.5,47.8,SABc,S4G,predicted_B,8.710324718727875,225
IC5069,3,3,9.758,-19.550366715139198,37.88,5.5,34.9,SBb,S4G,predicted_B,4.2651471087418455,111
IC5240,3,3,10.472,-21.058688149340515,25.45,0.0,49.6,SBa,S4G,predicted_B,5.797829796477143,149
IC5267,3,3,10.866,-22.02850183072005,21.26,0.0,48.4,S0-a,S4G,predicted_B,13.652295075904116,353
NGC0150,3,3,10.388,-20.928935367481564,19.29,2.0,66.9,SBb,S4G,predicted_B,4.059376816224857,105
NGC0210,3,3,10.393,-20.971007426464904,18.32,2.0,55.4,SABb,S4G,predicted_B,8.06521149161004,209
NGC0254,3,3,10.253,-20.55937015591188,20.7,-1.0,57.4,S0-a,S4G,predicted_B,4.626689932536343,119
NGC0275,3,3,10.371,-21.00965538590452,35.59,8.0,38.2,SBc,S4G,predicted_B,7.9784593488942175,207
NGC0289,3,3,10.543,-21.28586971807247,19.16,1.5,43.0,SBbc,S4G,predicted_B,2.9566873818251542,77
NGC0473,3,3,10.269,-20.6048291102896,29.8,-1.0,62.1,S0-a,S4G,predicted_B,3.058141670212243,79
